date,equity
2022-03-16,1078302.6731211247
2022-03-17,1078302.6731211247
2022-03-18,1078302.6731211247
2022-03-21,1078302.6731211247
2022-03-22,1078302.6731211247
2022-03-23,1078302.6731211247
2022-03-24,1078302.6731211247
2022-03-25,1078302.6731211247
2022-03-28,1078302.6731211247
2022-03-29,1078302.6731211247
2022-03-30,1078302.6731211247
2022-03-31,1078302.6731211247
2022-04-01,1078302.6731211247
2022-04-04,1078302.6731211247
2022-04-05,1078302.6731211247
2022-04-06,1078302.6731211247
2022-04-07,1078302.6731211247
2022-04-08,1078302.6731211247
2022-04-11,1078302.6731211247
2022-04-12,1078302.6731211247
2022-04-13,1078302.6731211247
2022-04-14,1078302.6731211247
2022-04-18,1078302.6731211247
2022-04-19,1078302.6731211247
2022-04-20,1078302.6731211247
2022-04-21,1078302.6731211247
2022-04-22,1078302.6731211247
2022-04-25,1078302.6731211247
2022-04-26,1078302.6731211247
2022-04-27,1078302.6731211247
2022-04-28,1078302.6731211247
2022-04-29,1078302.6731211247
2022-05-02,1078302.6731211247
2022-05-03,1078302.6731211247
2022-05-04,1078302.6731211247
2022-05-05,1078302.6731211247
2022-05-06,1078302.6731211247
2022-05-09,1078302.6731211247
2022-05-10,1078302.6731211247
2022-05-11,1078302.6731211247
2022-05-12,1078302.6731211247
2022-05-13,1078302.6731211247
2022-05-16,1078302.6731211247
2022-05-17,1078302.6731211247
2022-05-18,1078302.6731211247
2022-05-19,1078302.6731211247
2022-05-20,1078302.6731211247
2022-05-23,1078302.6731211247
2022-05-24,1078302.6731211247
2022-05-25,1078302.6731211247
2022-05-26,1078302.6731211247
2022-05-27,1078302.6731211247
2022-05-31,1078302.6731211247
2022-06-01,1078302.6731211247
2022-06-02,1078302.6731211247
2022-06-03,1078302.6731211247
2022-06-06,1078302.6731211247
2022-06-07,1078302.6731211247
2022-06-08,1078302.6731211247
2022-06-09,1078302.6731211247
2022-06-10,1078302.6731211247
2022-06-13,1078302.6731211247
2022-06-14,1078302.6731211247
2022-06-15,1078302.6731211247
2022-06-16,1078302.6731211247
2022-06-17,1078302.6731211247
2022-06-21,1078302.6731211247
2022-06-22,1078302.6731211247
2022-06-23,1078302.6731211247
2022-06-24,1078302.6731211247
2022-06-27,1078302.6731211247
2022-06-28,1078302.6731211247
2022-06-29,1078302.6731211247
2022-06-30,1078302.6731211247
2022-07-01,1078302.6731211247
2022-07-05,1078302.6731211247
2022-07-06,1078302.6731211247
2022-07-07,1078302.6731211247
2022-07-08,1078302.6731211247
2022-07-11,1078302.6731211247
2022-07-12,1078302.6731211247
2022-07-13,1078302.6731211247
2022-07-14,1078302.6731211247
2022-07-15,1078302.6731211247
2022-07-18,1078302.6731211247
2022-07-19,1078302.6731211247
2022-07-20,1078302.6731211247
2022-07-21,1078302.6731211247
2022-07-22,1078302.6731211247
2022-07-25,1078302.6731211247
2022-07-26,1078302.6731211247
2022-07-27,1078302.6731211247
2022-07-28,1078302.6731211247
2022-07-29,1078302.6731211247
2022-08-01,1078302.6731211247
2022-08-02,1078302.6731211247
2022-08-03,1078302.6731211247
2022-08-04,1078302.6731211247
2022-08-05,1078302.6731211247
2022-08-08,1078302.6731211247
2022-08-09,1078302.6731211247
2022-08-10,1078302.6731211247
2022-08-11,1078302.6731211247
2022-08-12,1078302.6731211247
2022-08-15,1078302.6731211247
2022-08-16,1078302.6731211247
2022-08-17,1078302.6731211247
2022-08-18,1078302.6731211247
2022-08-19,1078302.6731211247
2022-08-22,1078302.6731211247
2022-08-23,1078302.6731211247
2022-08-24,1078302.6731211247
2022-08-25,1078302.6731211247
2022-08-26,1078302.6731211247
2022-08-29,1078302.6731211247
2022-08-30,1078302.6731211247
2022-08-31,1078302.6731211247
2022-09-01,1078302.6731211247
2022-09-02,1078302.6731211247
2022-09-06,1078302.6731211247
2022-09-07,1078302.6731211247
2022-09-08,1078302.6731211247
2022-09-09,1078302.6731211247
2022-09-12,1078302.6731211247
2022-09-13,1078302.6731211247
2022-09-14,1078302.6731211247
2022-09-15,1078302.6731211247
2022-09-16,1078302.6731211247
2022-09-19,1078302.6731211247
2022-09-20,1078302.6731211247
2022-09-21,1078302.6731211247
